 Name,Year,Ratio
Sabalenka,2017,1.216666667
Sabalenka,2018,0.889632107
Sabalenka,2019,0.714285714
Sabalenka,2020,0.993975904
Sabalenka,2021,1.056213018
Sabalenka,2022,0.581775701
Sabalenka,2023,1.41754386
Sabalenka,2024,1.497560976
Sabalenka,2025,2.352941176
Swiatek,2017,0
Swiatek,2018,0
Swiatek,2019,1.098765432
Swiatek,2020,0
Swiatek,2021,1.024793388
Swiatek,2022,0.90131579
Swiatek,2023,1.024193548
Swiatek,2024,1.219047619
Swiatek,2025,0.666666667
Gauff,2017,0
Gauff,2018,0
Gauff,2019,0.578947368
Gauff,2020,0.375838926
Gauff,2021,1.008130081
Gauff,2022,0.846153846
Gauff,2023,1.187214612
Gauff,2024,0.581395349
Gauff,2025,0.931034483
Paolini,2017,0
Paolini,2018,0.230769231
Paolini,2019,0.208333333
Paolini,2020,0.228571429
Paolini,2021,0.351648352
Paolini,2022,0.352941177
Paolini,2023,0.517647059
Paolini,2024,0.847619048
Paolini,2025,0.9
Rybakina,2017,1
Rybakina,2018,1.204081633
Rybakina,2019,1.204081633
Rybakina,2020,1.473282443
Rybakina,2021,1.824242424
Rybakina,2022,1.504065041
Rybakina,2023,2.541899441
Rybakina,2024,2.613138686
Rybakina,2025,2.125